,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare_1,business_fare_rs,first_fare_rs,economy_fare,business_fare,first_fare
0,DEL,BOM,8:00:00,2,2:10:00,10:10:00,2,G8334,G8,Go First,4589,,,55.068,,
1,DEL,BOM,10:55:00,2,2:15:00,13:10:00,2,G8338,G8,Go First,4589,,,55.068,,
2,DEL,BOM,19:45:00,2,2:15:00,22:00:00,2,G8346,G8,Go First,4589,,,55.068,,
3,DEL,BOM,20:50:00,2,2:15:00,23:05:00,2,G8330,G8,Go First,4589,,,55.068,,
4,DEL,BOM,7:20:00,5,2:15:00,9:35:00,5,SG8701,SG,SpiceJet,4813,,,57.756,,
5,DEL,BOM,19:45:00,5,2:15:00,22:00:00,5,SG8169,SG,SpiceJet,4882,,,58.584,,
6,DEL,BOM,19:45:00,6,2:15:00,22:00:00,6,SG8169,SG,SpiceJet,4882,,,58.584,,
7,DEL,BOM,21:40:00,2,2:15:00,23:55:00,2,SG711,SG,SpiceJet,4882,,,58.584,,
8,DEL,BOM,21:40:00,5,2:15:00,23:55:00,5,SG711,SG,SpiceJet,4882,,,58.584,,
9,DEL,BOM,7:20:00,4,2:15:00,9:35:00,4,SG8701,SG,SpiceJet,4882,,,58.584,,
10,DEL,BOM,21:40:00,6,2:15:00,23:55:00,6,SG711,SG,SpiceJet,4882,,,58.584,,
11,DEL,BOM,7:20:00,3,2:15:00,9:35:00,3,SG8701,SG,SpiceJet,4882,,,58.584,,
12,DEL,BOM,19:45:00,2,2:15:00,22:00:00,2,SG8169,SG,SpiceJet,4882,,,58.584,,
13,DEL,BOM,19:00:00,3,2:10:00,21:10:00,3,SG8709,SG,SpiceJet,4940,,,59.28,,
14,DEL,BOM,19:00:00,6,2:10:00,21:10:00,6,SG8709,SG,SpiceJet,4940,,,59.28,,
15,DEL,BOM,7:20:00,6,2:15:00,9:35:00,6,SG8701,SG,SpiceJet,4940,,,59.28,,
16,DEL,BOM,21:40:00,3,2:15:00,23:55:00,3,SG711,SG,SpiceJet,4940,,,59.28,,
17,DEL,BOM,19:45:00,3,2:15:00,22:00:00,3,SG8169,SG,SpiceJet,4940,,,59.28,,
18,DEL,BOM,20:50:00,4,2:15:00,23:05:00,4,G8330,G8,Go First,5054,,,60.648,,
19,DEL,BOM,14:30:00,1,2:10:00,16:40:00,1,G8336,G8,Go First,5055,,,60.66,,
20,DEL,BOM,14:30:00,4,2:10:00,16:40:00,4,G8336,G8,Go First,5055,,,60.66,,
21,DEL,BOM,22:45:00,4,2:15:00,1:00:00,5,G8354,G8,Go First,5055,,,60.66,,
22,DEL,BOM,18:20:00,6,2:15:00,20:35:00,6,G8323,G8,Go First,5055,,,60.66,,
23,DEL,BOM,20:50:00,1,2:15:00,23:05:00,1,G8330,G8,Go First,5055,,,60.66,,
24,DEL,BOM,20:50:00,5,2:15:00,23:05:00,5,G8330,G8,Go First,5055,,,60.66,,
25,DEL,BLR,6:05:00,1,2:50:00,8:55:00,1,SG191,SG,SpiceJet,6353,,,76.236,,
26,DEL,BLR,8:10:00,6,2:30:00,10:40:00,6,I5740,I5,AirAsia India,7026,,,84.312,,
27,DEL,BLR,8:10:00,5,2:30:00,10:40:00,5,I5740,I5,AirAsia India,7026,,,84.312,,
28,DEL,BLR,8:10:00,1,2:30:00,10:40:00,1,I5740,I5,AirAsia India,7026,,,84.312,,
29,DEL,BLR,21:40:00,0,2:50:00,0:30:00,1,I51732,I5,AirAsia India,7026,,,84.312,,
30,DEL,BLR,21:40:00,1,2:50:00,0:30:00,2,I51732,I5,AirAsia India,7026,,,84.312,,
31,DEL,BLR,18:45:00,1,2:55:00,21:40:00,1,I5857,I5,AirAsia India,7026,,,84.312,,
32,DEL,BLR,20:30:00,0,2:55:00,23:25:00,0,G8119,G8,Go First,7105,,,85.26,,
