index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare,economy_fare_usd,business_fare_usd,first_fare_usd
0,ATL,LAX,19:05:00,2,1:45:00,20:50:00,2,NK1301,NK,Spirit Airlines,20853,,,250.236,,
1,ATL,LAX,19:05:00,1,1:45:00,20:50:00,1,NK1301,NK,Spirit Airlines,23590,,,283.08,,
2,ATL,LAX,19:05:00,5,1:45:00,20:50:00,5,NK1301,NK,Spirit Airlines,23590,,,283.08,,
3,ATL,LAX,19:05:00,3,1:45:00,20:50:00,3,NK1301,NK,Spirit Airlines,23590,,,283.08,,
4,ATL,LAX,10:16:00,4,1:44:00,12:00:00,4,NK1301,NK,Spirit Airlines,32712,,,392.544,,
5,ATL,LAX,19:05:00,6,1:45:00,20:50:00,6,NK1301,NK,Spirit Airlines,32712,,,392.544,,
6,ATL,LAX,22:46:00,6,1:34:00,0:20:00,0,DL1137,DL,Delta Airlines,44537,62648,,534.444,751.776,
7,ATL,LAX,20:53:00,6,1:36:00,22:29:00,6,DL2331,DL,Delta Airlines,44537,111792,,534.444,1341.504,
8,ATL,LAX,17:00:00,6,1:30:00,18:30:00,6,DL383,DL,Delta Airlines,45326,,,543.912,,
9,ATL,LAX,12:15:00,4,1:32:00,13:47:00,4,DL2066,DL,Delta Airlines,45326,,,543.912,,
10,ATL,LAX,11:07:00,6,1:33:00,12:40:00,6,DL515,DL,Delta Airlines,45326,,,543.912,,
11,ATL,LAX,22:46:00,4,1:34:00,0:20:00,5,DL1137,DL,Delta Airlines,45326,62648,,543.912,751.776,
12,ATL,LAX,8:45:00,4,1:35:00,10:20:00,4,DL345,DL,Delta Airlines,45326,62648,,543.912,751.776,
13,ATL,LAX,20:53:00,4,1:36:00,22:29:00,4,DL2331,DL,Delta Airlines,45326,62648,,543.912,751.776,
14,ATL,LAX,20:53:00,5,1:36:00,22:29:00,5,DL2331,DL,Delta Airlines,45326,,,543.912,,
15,ATL,LAX,15:10:00,4,1:38:00,16:48:00,4,DL1678,DL,Delta Airlines,45326,,,543.912,,
16,ATL,LAX,17:50:00,5,1:40:00,19:30:00,5,DL2864,DL,Delta Airlines,45326,,,543.912,,
17,ATL,LAX,16:35:00,4,1:40:00,18:15:00,4,DL335,DL,Delta Airlines,45326,62648,,543.912,751.776,
18,ATL,LAX,19:30:00,6,1:40:00,21:10:00,6,DL303,DL,Delta Airlines,45326,,,543.912,,
19,ATL,LAX,18:00:00,6,1:40:00,19:40:00,6,DL2864,DL,Delta Airlines,45326,115969,,543.912,1391.628,
20,ATL,LAX,17:50:00,4,1:40:00,19:30:00,4,DL2864,DL,Delta Airlines,45326,,,543.912,,
21,ATL,LAX,16:35:00,5,1:40:00,18:15:00,5,DL335,DL,Delta Airlines,45326,62648,,543.912,751.776,
22,ATL,LAX,10:00:00,4,1:40:00,11:40:00,4,DL516,DL,Delta Airlines,45326,62648,,543.912,751.776,
23,ATL,LAX,14:10:00,4,1:40:00,15:50:00,4,DL2284,DL,Delta Airlines,45326,,,543.912,,
24,ATL,LAX,14:10:00,6,1:40:00,15:50:00,6,DL2284,DL,Delta Airlines,45326,,,543.912,,
25,ATL,ORD,14:45:00,1,1:14:00,15:59:00,1,NK762,NK,Spirit Airlines,8748,,,104.976,,
26,ATL,ORD,14:45:00,5,1:14:00,15:59:00,5,NK762,NK,Spirit Airlines,8748,,,104.976,,
27,ATL,ORD,14:45:00,2,1:14:00,15:59:00,2,NK762,NK,Spirit Airlines,12154,,,145.848,,
28,ATL,ORD,14:45:00,3,1:14:00,15:59:00,3,NK762,NK,Spirit Airlines,14844,,,178.128,,
29,ATL,ORD,22:30:00,5,0:57:00,23:27:00,5,DL2976,DL,Delta Airlines,16402,20465,,196.824,245.58,
30,ATL,ORD,19:59:00,5,1:09:00,21:08:00,5,DL1453,DL,Delta Airlines,16402,19616,,196.824,235.392,
31,ATL,ORD,6:30:00,5,1:28:00,7:58:00,5,UA5284,UA,United Airlines,16413,21992,,196.956,263.904,
32,ATL,ORD,8:00:00,5,1:14:00,9:14:00,5,AA2893,AA,American Airlines,16458,,,197.496,,
33,ATL,ORD,15:05:00,5,1:17:00,16:22:00,5,AA3266,AA,American Airlines,16458,,,197.496,,
34,ATL,ORD,18:24:00,5,1:21:00,19:45:00,5,AA3688,AA,American Airlines,16458,,,197.496,,
35,ATL,ORD,10:56:00,2,1:12:00,12:08:00,2,UA299,UA,United Airlines,17130,22672,,205.56,272.064,
36,ATL,ORD,10:56:00,0,1:12:00,12:08:00,0,UA299,UA,United Airlines,17130,22672,,205.56,272.064,
37,ATL,ORD,10:56:00,1,1:12:00,12:08:00,1,UA299,UA,United Airlines,17130,22672,,205.56,272.064,
38,ATL,ORD,12:35:00,2,1:23:00,13:58:00,2,UA5339,UA,United Airlines,17130,22672,,205.56,272.064,
39,ATL,ORD,12:40:00,0,1:23:00,14:03:00,0,UA5339,UA,United Airlines,17130,22672,,205.56,272.064,
40,ATL,ORD,12:35:00,1,1:23:00,13:58:00,1,UA5339,UA,United Airlines,17130,22672,,205.56,272.064,
41,ATL,ORD,6:30:00,2,1:28:00,7:58:00,2,UA5284,UA,United Airlines,17130,22672,,205.56,272.064,
42,ATL,ORD,6:30:00,1,1:28:00,7:58:00,1,UA5284,UA,United Airlines,17130,22672,,205.56,272.064,
43,ATL,ORD,22:30:00,1,0:57:00,23:27:00,1,DL2976,DL,Delta Airlines,17175,,,206.1,,
44,ATL,ORD,22:30:00,4,0:57:00,23:27:00,4,DL2976,DL,Delta Airlines,17175,,,206.1,,
45,ATL,ORD,7:15:00,6,1:00:00,8:15:00,6,DL2822,DL,Delta Airlines,17175,20465,,206.1,245.58,
46,ATL,ORD,8:00:00,2,1:14:00,9:14:00,2,AA2893,AA,American Airlines,17175,,,206.1,,
47,ATL,ORD,8:00:00,1,1:14:00,9:14:00,1,AA2893,AA,American Airlines,17175,,,206.1,,
48,ATL,ORD,11:18:00,1,1:19:00,12:37:00,1,AA4541,AA,American Airlines,17175,,,206.1,,
49,ATL,ORD,8:00:00,3,1:14:00,9:14:00,3,AA2893,AA,American Airlines,17369,,,208.428,,
50,ATL,LHR,19:20:00,2,13:20:00,8:40:00,3,VS104,VS,Virgin Atlantic,103422,224440,544379,1241.064,2693.28,6532.548
51,ATL,LHR,17:45:00,2,13:20:00,7:05:00,3,VS4044,VS,Virgin Atlantic,103422,,,1241.064,,
52,ATL,LHR,17:45:00,1,13:20:00,7:05:00,2,VS4044,VS,Virgin Atlantic,103422,,,1241.064,,
53,ATL,LHR,19:20:00,6,13:20:00,8:40:00,0,VS104,VS,Virgin Atlantic,103422,226226,,1241.064,2714.712,
54,ATL,LHR,19:20:00,1,13:20:00,8:40:00,2,VS104,VS,Virgin Atlantic,103422,226226,,1241.064,2714.712,
55,ATL,LHR,17:45:00,6,13:20:00,7:05:00,0,VS4044,VS,Virgin Atlantic,103422,,,1241.064,,
56,ATL,LHR,19:20:00,0,13:20:00,8:40:00,1,VS104,VS,Virgin Atlantic,103422,222552,,1241.064,2670.624,
57,ATL,LHR,19:20:00,5,13:20:00,8:40:00,6,VS104,VS,Virgin Atlantic,108801,230513,,1305.612,2766.156,
58,ATL,LHR,17:45:00,3,13:20:00,7:05:00,4,VS4044,VS,Virgin Atlantic,108801,228683,,1305.612,2744.196,
59,ATL,LHR,17:45:00,5,13:20:00,7:05:00,6,VS4044,VS,Virgin Atlantic,108801,,,1305.612,,
60,ATL,LHR,19:20:00,3,13:20:00,8:40:00,4,VS104,VS,Virgin Atlantic,108801,228683,,1305.612,2744.196,
61,ATL,LHR,17:45:00,0,13:20:00,7:05:00,1,VS4044,VS,Virgin Atlantic,114178,,,1370.136,,
62,ATL,LHR,19:20:00,4,13:20:00,8:40:00,5,VS104,VS,Virgin Atlantic,119557,228683,781949,1434.684,2744.196,9383.388
63,ATL,LHR,21:50:00,5,13:20:00,11:10:00,6,DL32,DL,Delta Airlines,159741,,,1916.892,,
64,ATL,LHR,19:20:00,5,13:20:00,8:40:00,6,DL5998,DL,Delta Airlines,159741,230513,,1916.892,2766.156,
65,ATL,LHR,17:45:00,5,13:20:00,7:05:00,6,DL30,DL,Delta Airlines,159741,,,1916.892,,
66,ATL,LHR,19:20:00,0,13:20:00,8:40:00,1,DL5998,DL,Delta Airlines,160772,,661553,1929.264,,7938.636
67,ATL,LHR,17:45:00,1,13:20:00,7:05:00,2,DL30,DL,Delta Airlines,160772,,787109,1929.264,,9445.308
68,ATL,LHR,21:50:00,1,13:20:00,11:10:00,2,DL32,DL,Delta Airlines,160772,,644153,1929.264,,7729.836
69,ATL,LHR,21:50:00,0,13:20:00,11:10:00,1,DL32,DL,Delta Airlines,160772,,648397,1929.264,,7780.764
70,ATL,LHR,19:20:00,1,13:20:00,8:40:00,2,DL5998,DL,Delta Airlines,160772,226226,,1929.264,2714.712,
71,ATL,LHR,17:45:00,0,13:20:00,7:05:00,1,DL30,DL,Delta Airlines,160772,,648397,1929.264,,7780.764
72,ATL,LHR,21:50:00,1,13:20:00,11:10:00,2,VS4010,VS,Virgin Atlantic,161327,,,1935.924,,
73,ATL,LHR,21:50:00,0,13:20:00,11:10:00,1,VS4010,VS,Virgin Atlantic,161327,,,1935.924,,
74,ATL,LHR,19:20:00,6,13:20:00,8:40:00,0,DL5998,DL,Delta Airlines,161327,226226,,1935.924,2714.712,
75,ATL,CDG,22:05:00,6,14:15:00,12:20:00,0,VS3993,VS,Virgin Atlantic,104234,243873,,1250.808,2926.476,
76,ATL,CDG,22:05:00,1,14:15:00,12:20:00,2,VS3993,VS,Virgin Atlantic,107990,243873,,1295.88,2926.476,
77,ATL,CDG,22:05:00,2,14:15:00,12:20:00,3,VS3993,VS,Virgin Atlantic,107990,244810,,1295.88,2937.72,
78,ATL,CDG,22:05:00,0,14:15:00,12:20:00,1,VS3993,VS,Virgin Atlantic,107990,,625056,1295.88,,7500.672
79,ATL,CDG,15:30:00,0,14:40:00,6:10:00,1,VS3970,VS,Virgin Atlantic,107990,,625056,1295.88,,7500.672
80,ATL,CDG,15:30:00,2,14:40:00,6:10:00,3,VS3970,VS,Virgin Atlantic,107990,,625056,1295.88,,7500.672
81,ATL,CDG,15:30:00,1,14:40:00,6:10:00,2,VS3970,VS,Virgin Atlantic,107990,243873,,1295.88,2926.476,
82,ATL,CDG,15:30:00,6,14:40:00,6:10:00,0,VS3970,VS,Virgin Atlantic,107990,243873,,1295.88,2926.476,
83,ATL,CDG,22:05:00,5,14:15:00,12:20:00,6,VS3993,VS,Virgin Atlantic,113462,248104,,1361.544,2977.248,
84,ATL,CDG,22:05:00,3,14:15:00,12:20:00,4,VS3993,VS,Virgin Atlantic,113462,249054,,1361.544,2988.648,
85,ATL,CDG,15:30:00,5,14:40:00,6:10:00,6,VS3970,VS,Virgin Atlantic,113462,,,1361.544,,
86,ATL,CDG,15:30:00,3,14:40:00,6:10:00,4,VS3970,VS,Virgin Atlantic,113462,,,1361.544,,
87,ATL,CDG,22:05:00,6,14:15:00,12:20:00,0,DL84,DL,Delta Airlines,160536,243873,,1926.432,2926.476,
88,ATL,CDG,20:05:00,6,14:30:00,10:35:00,0,DL8672,DL,Delta Airlines,160536,243873,661763,1926.432,2926.476,7941.156
89,ATL,CDG,20:05:00,6,14:30:00,10:35:00,0,AF689,AF,Air France,161330,,662972,1935.96,,7955.664
90,ATL,CDG,16:35:00,6,14:30:00,7:05:00,0,DL8517,DL,Delta Airlines,166322,243873,661763,1995.864,2926.476,7941.156
91,ATL,CDG,15:30:00,6,14:40:00,6:10:00,0,DL82,DL,Delta Airlines,166322,243873,,1995.864,2926.476,
92,ATL,CDG,22:05:00,1,14:15:00,12:20:00,2,DL84,DL,Delta Airlines,166463,243873,,1997.556,2926.476,
93,ATL,CDG,22:05:00,0,14:15:00,12:20:00,1,DL84,DL,Delta Airlines,166463,,,1997.556,,
94,ATL,CDG,16:35:00,1,14:30:00,7:05:00,2,DL8517,DL,Delta Airlines,166463,243873,,1997.556,2926.476,
95,ATL,CDG,20:05:00,2,14:30:00,10:35:00,3,DL8672,DL,Delta Airlines,166463,244810,620812,1997.556,2937.72,7449.744
96,ATL,CDG,16:35:00,0,14:30:00,7:05:00,1,DL8517,DL,Delta Airlines,166463,,,1997.556,,
97,ATL,CDG,16:35:00,2,14:30:00,7:05:00,3,DL8517,DL,Delta Airlines,166463,244810,620812,1997.556,2937.72,7449.744
98,ATL,CDG,15:30:00,0,14:40:00,6:10:00,1,DL82,DL,Delta Airlines,166463,,,1997.556,,
99,ATL,CDG,15:30:00,1,14:40:00,6:10:00,2,DL82,DL,Delta Airlines,166463,243873,,1997.556,2926.476,
100,ATL,AMS,20:15:00,1,14:20:00,10:35:00,2,VS3948,VS,Virgin Atlantic,106112,219544,,1273.344,2634.528,
101,ATL,AMS,20:15:00,6,14:20:00,10:35:00,0,VS3948,VS,Virgin Atlantic,106112,226253,625056,1273.344,2715.036,7500.672
102,ATL,AMS,15:20:00,1,14:35:00,5:55:00,2,VS4054,VS,Virgin Atlantic,106112,219544,,1273.344,2634.528,
103,ATL,AMS,17:35:00,6,14:35:00,8:10:00,0,VS3932,VS,Virgin Atlantic,106112,226253,625056,1273.344,2715.036,7500.672
104,ATL,AMS,17:35:00,1,14:35:00,8:10:00,2,VS3932,VS,Virgin Atlantic,106112,219544,,1273.344,2634.528,
